,title,url,visit,author,update_date,length
0,중국 선수 안아주고 중국 관중에게 인사하고! '손흥민 클래스',https://www.youtube.com/watch?v=_dszNONCiQ4,192만회,엠빅뉴스,2023-11-21,0:03:12
1,[2026 북중미 월드컵 아시아 2차 예선] 대한민국 vs 중국 풀 하이라이트,https://www.youtube.com/watch?v=Ypu2JqiIidc,275만회,쿠팡플레이 스포츠,2023-11-21,0:10:20
2,[EN] 인간헤이터가 홈파티 (안)즐기는 법 (feat.더티파&클린파) | 청소광브라이언 6화,https://www.youtube.com/watch?v=S6mTUwNr_2w,52만회,M드로메다 스튜디오,2023-11-21,0:28:32
3,"[세상만사] 한국, 중국 3-0으로 꺾고 월드컵 예선 '2연승'",https://www.youtube.com/watch?v=AYBLPwbKnYE,20만회,YTN dmb,2023-11-21,0:10:58
4,전기자전거 국토종주 카메라 분실사건,https://www.youtube.com/watch?v=o90ulT97Vhw,98만회,곽튜브,2023-11-20,0:25:52
5,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식,https://www.youtube.com/watch?v=uiz7EsMPsuw,320만회,League of Legends,2023-11-19,0:03:39
6,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03",https://www.youtube.com/watch?v=N5ZYEpW4jaU,24만회,the BOB studio | 더 밥 스튜디오,2023-11-21,0:35:48
7,"[라방 하이라이트] 영국사람의 편파중계 대한민국 vs 중국 - 손흥민 2골 1어시, 쏘니 건드려서 화난 영국인",https://www.youtube.com/watch?v=vmu-3gkFlO8,20만회,위아토트넘TV 코리아,2023-11-21,0:06:18
8,[sub] 10주년기념와글,https://www.youtube.com/watch?v=BmC1cmItiGs,368만회,채널십오야,2023-11-17,0:45:59
9,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ),https://www.youtube.com/watch?v=pv38t1B4Y24,86만회,파뿌리,2023-11-19,0:47:53
10,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]",https://www.youtube.com/watch?v=Tw0EKb0R28Y,230만회,Billboard Music Awards,2023-11-19,0:06:39
11,맥문철TV 35회. 동료 BJ들의 자존심이 걸린 맥문철 한판승부,https://www.youtube.com/watch?v=VKx5u5K-Dz4,51만회,cvMax,2023-11-19,0:27:27
12,THE BOYZ(더보이즈) 'WATCH IT' MV,https://www.youtube.com/watch?v=Nzk-n7lZ7J4,2970만회,THE BOYZ,2023-11-20,0:03:04
13,중국 침묵시킨 쏘니! 팬들 이야기에 울컥(?),https://www.youtube.com/watch?v=6rjS8BKg4dM,10만회,MBC스포츠탐험대,2023-11-21,0:05:52
14,이걸 틀려?,https://www.youtube.com/watch?v=xZfDzRo5kNQ,76만회,충주시,2023-11-21,0:01:50
15,"[sub]화내서 귀엽고, 잘 먹어서 귀엽고, 귀여워서 귀엽고, 웃겨서 귀엽고...(더보기)",https://www.youtube.com/watch?v=fLSNTYCHSg4,67만회,요정재형,2023-11-19,0:38:22
16,콩나물굴밥 너무너무 맛있어요,https://www.youtube.com/watch?v=nLHUDIgi4Zs,16만회,김대석 셰프TV,2023-11-21,0:07:24
17,절임배추 20kg 김장 자세하고 친절한 레시피! 누구나 좋아할 맛있는 맛으로 실패없이 담그는 비법 알려드릴게요~,https://www.youtube.com/watch?v=L4ZvGBCeBic,28만회,땅끝마을 임선생,2023-11-20,0:21:55
18,"쏘니 ""저 막을 수 있단 말에 기분 나빠서 '쉿!' 했어요""",https://www.youtube.com/watch?v=tSyGUEAJ6QI,98만회,엠빅뉴스,2023-11-21,0:05:17
19,"마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식 ft. NewJeans, HEARTSTEEL 등!",https://www.youtube.com/watch?v=AH8A79BrTEY,261만회,League of Legends,2023-11-19,0:13:41
20,VIXX 'Amnesia' Official M/V,https://www.youtube.com/watch?v=r58zujy-71s,105만회,RealVIXX,2023-11-21,0:03:11
21,[연인] 😭😭😭 눈물 마를 날 없게 했던 연인의 절절한 명대사들을 모았다! 정주행각 연인의 명대사 모음.ZIP | 웨이브,https://www.youtube.com/watch?v=Qjc17Kx57qs,12만회,wavve 웨이브,2023-11-21,0:13:31
22,[EN/JP] [스걸파2/1회 선공개]10대 소녀들 입틀막😱하게 한 마스터 군단의 레전드 오프닝 퍼포먼스! #스트릿댄스걸스파이터2,https://www.youtube.com/watch?v=JXmL-w3v4AE,105만회,The CHOOM (더 춤),2023-11-19,0:05:33
23,"[풀버전✂] 신동엽의 발톱을 먹고 자란 남동엽, 싱크로율 미쳤다ㅋㅋㅋㅋ '봉숭아학당' [개그 콘서트/Gag Concert Ep.1052] | KBS 231119 방송",https://www.youtube.com/watch?v=Id_kQyNTRiE,28만회, 개그콘서트,2023-11-20,0:11:37
24,[ENG] 다과 시간은 핑계고,https://www.youtube.com/watch?v=aw3HWq1OPC4,260만회,뜬뜬 DdeunDdeun,2023-11-17,0:52:37
25,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강,https://www.youtube.com/watch?v=tdd3C5wtrBo,77만회,T1,2023-11-18,0:16:01
26,Stray Kids - “S-Class” + “LALALALA” [2023 Billboard Music Awards],https://www.youtube.com/watch?v=I_5SS4OH_dU,128만회,Billboard Music Awards,2023-11-19,0:05:38
27,삶는 순서만 '이렇게' 바꿔줘도 수육 누린내 없이 촉촉해집니다! / 수육 맛있게 삶는법,https://www.youtube.com/watch?v=FwhAlr6Axw0,11만회,첫째아들,2023-11-20,0:07:53
28,T1 vs WBG | THE GLORY | 결승 티저 | 2023 월드 챔피언십,https://www.youtube.com/watch?v=3thbqHHbjBg,91만회,LoL Esports,2023-11-18,0:06:22
29,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1,https://www.youtube.com/watch?v=AZZCkl3-0JU,139만회,AOMGOFFICIAL,2023-11-17,0:29:39
30,[책이벤트] ‘나’와 ‘너’의 균형을 만드는 대화법 | 박재연 리플러스 인간연구소 소장 | #직장인 #대화 #연습 | 세바시 1730회,https://www.youtube.com/watch?v=ZEk_eMZ6Sjo,10만회,세바시 강연 Sebasi Talk,2023-11-20,0:23:05
31,[올림픽대표팀 친선경기] 대한민국 vs 프랑스 풀 하이라이트,https://www.youtube.com/watch?v=h6_Mgqvhx3A,211만회,쿠팡플레이 스포츠,2023-11-20,0:09:54
32,DEAN - DIE 4 YOU (Official Visualizer),https://www.youtube.com/watch?v=xrxxALETANY,92만회,DEANTRBL,2023-11-18,0:03:14
33,"극초기 임산부 일상🤰🏻 임신3주차, 취요남 고기, 복국, 먹방, 샐러드마스터",https://www.youtube.com/watch?v=d7rVdr5_KYY,33만회,yoovlog,2023-11-19,0:22:00
34,음바페가 이강인을 유독 좋아하는 이유,https://www.youtube.com/watch?v=Ir-E9JVKqwo,33만회,김진짜 Real KIM,2023-11-20,0:10:11
35,전설적인 걸그룹과 기적의 뉴욕동반여행 [미국 6],https://www.youtube.com/watch?v=-rZKbcgyXV8,13만회,민고이YAMAN,2023-11-20,0:14:56
36,겨울 4개월 동안 집보다 더 좋은 텐트 살이 시작합니다│새 장비들 구경 오세요│도토리TV 동계 장박 캠핑│나조스트 캠핑장,https://www.youtube.com/watch?v=1Sn6W2cp1D0,15만회,도토리TV Dotori TV,2023-11-19,0:43:09
37,[한글자막] JYP에게 게임을 묻다,https://www.youtube.com/watch?v=QylMcP-q6-w,119만회,피식대학Psick Univ,2023-11-19,0:27:52
38,일본 국민방송을 한류가 점령하게 된 이유,https://www.youtube.com/watch?v=W53aG0B2TE0,48만회,ぱく家(박가네),2023-11-18,0:19:00
39,배추 몇포기만 남겨 두었다 이렇게 드셔보세요!! 김치보다 더 찾아먹는 반찬이 됩니다/ 초간단배추장아찌 Cabbage pickle,https://www.youtube.com/watch?v=wmEVB6RWxcc,40만회,sogyo table 소교식탁TV,2023-11-17,0:06:29
40,염산 VS 용암 녹이기 대결,https://www.youtube.com/watch?v=JdFRjsEZrmU,1387만회,Mark Rober,2023-11-18,0:20:37
41,200만원짜리 걸음이 빨라지는 신발을 신으면 시간을 절약할 수 있을까?!,https://www.youtube.com/watch?v=jq9s1hYObWc,62만회,허팝Heopop,2023-11-17,0:07:02
42,1년 내내 맛있는 중부식 김장김치 20kg🥇 실패없이 누구나 쉽게 大성공!! 절임배추 그냥 씻지마세요!,https://www.youtube.com/watch?v=yCAmXF76lxs,20만회,딸을 위한 레시피 Recipes for daughters,2023-11-17,0:10:55
43,안녕하세요 옆집형입니다,https://www.youtube.com/watch?v=82U3YlvOGME,16만회,옆집형NeighborBro,2023-11-18,0:17:40
44,김밥 먹어보는게 소원이라는 이모한테 김밥 만드는 법 알려드렸더니 ㅋㅋㅋ,https://www.youtube.com/watch?v=LEmkcNlNCpg,29만회,레이진 [Raye & Jin],2023-11-17,0:22:56
45,대학 갈 거야?,https://www.youtube.com/watch?v=ABW__URel-w,98만회,킥서비스,2023-11-18,0:04:46
46,???: 찬물 샤워를 해보세요,https://www.youtube.com/watch?v=6x3b_70jBvk,239만회,너덜트,2023-11-15,0:06:48
47,옥지의 성형 ~!,https://www.youtube.com/watch?v=OoTL-zzaBsc,341만회,빵빵이의 일상,2023-11-15,0:03:53
48,27만원 내고 먹은 국내 최고가 뷔페. 크랩52의 근황은 어떨까,https://www.youtube.com/watch?v=hBDkFToZpKI,28만회,더들리,2023-11-18,0:17:15
49,"""하.. 의대 갈 수 있을까요?"" 정시로 의대와 수의대를 노리는 최상위권 N수생의 2024수능 채점 라이브",https://www.youtube.com/watch?v=LKtCjm6heq4,54만회,미미미누,2023-11-18,0:13:34
50,"Red Velvet (레드벨벳)의 킬링보이스를 라이브로!ㅣ행복 (Happiness), Chill Kill, Oh Boy, Psycho, You Better Know, Bad Boy",https://www.youtube.com/watch?v=KEFNlx4ZIOU,628만회,딩고 뮤직 / dingo music,2023-11-14,0:33:53
51,※울컥 주의※ 힘들 때 희망과 용기를 줬던 🔥심장 강타 곡🔥 74호 가수의 '질풍가도(쾌걸 근육맨 2세 OST)'｜싱어게인3｜JTBC 231109 방송 외,https://www.youtube.com/watch?v=pIUXq-Djv7U,740만회,JTBC Voyage,2023-11-09,0:09:28
52,NewJeans (뉴진스) - GODS | 마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식,https://www.youtube.com/watch?v=uiz7EsMPsuw,320만회,League of Legends,2023-11-19,0:03:39
53,"이효리, 탁재훈 기강 잡으러 온 진짜 쎈 누나ㅣ노빠꾸탁재훈 시즌2 EP.77",https://www.youtube.com/watch?v=DShCmQYzf74,592만회,노빠꾸탁재훈,2023-11-09,0:26:44
54,[ENG] 다과 시간은 핑계고,https://www.youtube.com/watch?v=aw3HWq1OPC4,260만회,뜬뜬 DdeunDdeun,2023-11-17,0:52:37
55,전기자전거 국토종주 카메라 분실사건,https://www.youtube.com/watch?v=o90ulT97Vhw,98만회,곽튜브,2023-11-20,0:25:52
56,24시간동안 GS25 VS CU!! 편의점 최강자는 누구일까?! (반전주의ㅋ),https://www.youtube.com/watch?v=pv38t1B4Y24,86만회,파뿌리,2023-11-19,0:47:53
57,"[sub]화내서 귀엽고, 잘 먹어서 귀엽고, 귀여워서 귀엽고, 웃겨서 귀엽고...(더보기)",https://www.youtube.com/watch?v=fLSNTYCHSg4,67만회,요정재형,2023-11-19,0:38:22
58,Red Velvet 레드벨벳 'Chill Kill' MV,https://www.youtube.com/watch?v=xlyrt5eAtKI,1388만회,SMTOWN,2023-11-13,0:04:36
59,aespa 에스파 'Drama' MV,https://www.youtube.com/watch?v=D8VEhcPeSlc,5869만회,SMTOWN,2023-11-09,0:03:48
60,AOMG 헤쳐모여! 대망의 ⭐️단체 워크샵⭐️ 레쭈고ㅣ미노미노이 워크샵 EP.1,https://www.youtube.com/watch?v=AZZCkl3-0JU,139만회,AOMGOFFICIAL,2023-11-17,0:29:39
61,맥문철TV 35회. 동료 BJ들의 자존심이 걸린 맥문철 한판승부,https://www.youtube.com/watch?v=VKx5u5K-Dz4,51만회,cvMax,2023-11-19,0:27:27
62,[EN] 인간헤이터가 홈파티 (안)즐기는 법 (feat.더티파&클린파) | 청소광브라이언 6화,https://www.youtube.com/watch?v=S6mTUwNr_2w,52만회,M드로메다 스튜디오,2023-11-21,0:28:32
63,No Break (feat. Dynamic Duo) (No Break (feat. 다이나믹 듀오)),https://www.youtube.com/watch?v=7U2P2azUQow,65만회,Crush,2023-11-14,0:03:16
64,(SUB) “다음 스케줄 안 갈래“ 차승원 씨 당신은 이 팀의 연장자입니다 조진웅 한효주 오승훈 씨 보고만 있지 말고 말려주시죠 / [문명특급 EP.318],https://www.youtube.com/watch?v=W7VPUdSyBVs,65만회,문명특급 - MMTG,2023-11-16,0:36:29
65,DEAN - DIE 4 YOU (Official Visualizer),https://www.youtube.com/watch?v=xrxxALETANY,92만회,DEANTRBL,2023-11-18,0:03:14
66,???: 찬물 샤워를 해보세요,https://www.youtube.com/watch?v=6x3b_70jBvk,239만회,너덜트,2023-11-15,0:06:48
67,[ENG SUB]열한 번째 짠 황정민 정우성 EP.12 이제 '짠한형은 내꺼야! 짠스들 드루와 드루와~',https://www.youtube.com/watch?v=6ZB1AQHAOjk,237만회,짠한형 신동엽,2023-11-13,0:28:14
68,"마스터카드와 함께하는 2023 월드 챔피언십 결승 개막식 ft. NewJeans, HEARTSTEEL 등!",https://www.youtube.com/watch?v=AH8A79BrTEY,261만회,League of Legends,2023-11-19,0:13:41
69,🚨풍자 긴급출동🚨구디단 살릴 직장인 맛집 찾았습니다 | 또간집 EP.40,https://www.youtube.com/watch?v=nkmV8WuKKY8,133만회,재밌는 거 올라온다,2023-11-17,0:29:52
70,"NewJeans - ""Super Shy"" + ""OMG"" [2023 Billboard Music Awards]",https://www.youtube.com/watch?v=Tw0EKb0R28Y,230만회,Billboard Music Awards,2023-11-19,0:06:39
71,옥지의 성형 ~!,https://www.youtube.com/watch?v=OoTL-zzaBsc,341만회,빵빵이의 일상,2023-11-15,0:03:53
72,배추 몇포기만 남겨 두었다 이렇게 드셔보세요!! 김치보다 더 찾아먹는 반찬이 됩니다/ 초간단배추장아찌 Cabbage pickle,https://www.youtube.com/watch?v=wmEVB6RWxcc,40만회,sogyo table 소교식탁TV,2023-11-17,0:06:29
73,나를 믿는 것으로부터｜Worlds 2023 EP.3 녹아웃 스테이지 4강,https://www.youtube.com/watch?v=tdd3C5wtrBo,77만회,T1,2023-11-18,0:16:01
74,"젊음을 위해 버려야 할 것... ""입맛"" (feat. 곽범, 이창호) [라면꼰대5] EP.03",https://www.youtube.com/watch?v=N5ZYEpW4jaU,24만회,the BOB studio | 더 밥 스튜디오,2023-11-21,0:35:48
75,[MV] SOYEON of (G)I-DLE X WINTER of aespa X LIZ of IVE 'NOBODY',https://www.youtube.com/watch?v=N68rwFjyinI,1862만회,M:USB 뮤스비,2023-11-16,0:02:49
76,THE BOYZ(더보이즈) 'WATCH IT' MV,https://www.youtube.com/watch?v=Nzk-n7lZ7J4,2970만회,THE BOYZ,2023-11-20,0:03:04
77,"선수들의 선수 ""흥민이 형님""과 찰칵📸 스머가 공수한 싱가포르전 비하인드 직캠✨ / 스포츠머그",https://www.youtube.com/watch?v=J3UkTB7cSFM,100만회,스포츠머그 - SPORTSMUG,2023-11-16,0:05:06
78,절임배추 20kg 김장 자세하고 친절한 레시피! 누구나 좋아할 맛있는 맛으로 실패없이 담그는 비법 알려드릴게요~,https://www.youtube.com/watch?v=L4ZvGBCeBic,28만회,땅끝마을 임선생,2023-11-20,0:21:55
79,평생 써먹는 전라도 김장김치 맛있게 담그는법! 절임배추40kg 김치양념부터 맛내는 팁까지 전부 알려드려요.,https://www.youtube.com/watch?v=RezipTgO13E,41만회,가루씨의 집밥Garussi home cooking,2023-11-13,0:23:39
80,작고 조용한 대만 시골을 여행하면 벌어지는 일 【대만3】,https://www.youtube.com/watch?v=HpS_hHTMPF0,98만회,빠니보틀 Pani Bottle,2023-11-09,0:21:36
81,1년 내내 맛있는 중부식 김장김치 20kg🥇 실패없이 누구나 쉽게 大성공!! 절임배추 그냥 씻지마세요!,https://www.youtube.com/watch?v=yCAmXF76lxs,20만회,딸을 위한 레시피 Recipes for daughters,2023-11-17,0:10:55
82,200만원짜리 걸음이 빨라지는 신발을 신으면 시간을 절약할 수 있을까?!,https://www.youtube.com/watch?v=jq9s1hYObWc,62만회,허팝Heopop,2023-11-17,0:07:02
83,"[배추 5포기] 김장김치 이방법으로 1년내내 아삭하고 시원합니다! /배추 절이기 비법과 양념 황금비율, 보관까지 완벽정리",https://www.youtube.com/watch?v=Egh68O5DcSU,37만회,첫째아들,2023-11-13,0:11:07
84,"[라방 하이라이트] 영국사람의 편파중계 대한민국 vs 중국 - 손흥민 2골 1어시, 쏘니 건드려서 화난 영국인",https://www.youtube.com/watch?v=vmu-3gkFlO8,20만회,위아토트넘TV 코리아,2023-11-21,0:06:18
85,누구나 100% 성공! 이것땜에 식구들이 밥때만 기다려요~! 짜지않은 달큰새콤아삭 [무장아찌],https://www.youtube.com/watch?v=7diCAajkjZg,47만회,딸을 위한 레시피 Recipes for daughters,2023-11-11,0:04:11
86,[한글자막] 제시에게 당신도 나락에 갈 수 있냐고 묻다,https://www.youtube.com/watch?v=S9pNC0vpSx4,253만회,피식대학Psick Univ,2023-11-05,0:52:22
87,염산 VS 용암 녹이기 대결,https://www.youtube.com/watch?v=JdFRjsEZrmU,1387만회,Mark Rober,2023-11-18,0:20:37
88,유튜버 4인의 땅따먹기 멸망전,https://www.youtube.com/watch?v=8mccbJgn0r8,59만회,코마,2023-11-12,0:26:49
89,김밥 먹어보는게 소원이라는 이모한테 김밥 만드는 법 알려드렸더니 ㅋㅋㅋ,https://www.youtube.com/watch?v=LEmkcNlNCpg,29만회,레이진 [Raye & Jin],2023-11-17,0:22:56
90,동치미 담그는법 : 올해도 어김없이 깔끔하고 기본에 충실한 김치랍니다,https://www.youtube.com/watch?v=j-befYREZLU,23만회,심방골주부Korean Food Recipes,2023-11-11,0:15:21
91,일본 국민방송을 한류가 점령하게 된 이유,https://www.youtube.com/watch?v=W53aG0B2TE0,48만회,ぱく家(박가네),2023-11-18,0:19:00
92,[폭식 주의!] 겨울이면 전라도에서 난리가 나는 생선회,https://www.youtube.com/watch?v=2yD34hHGF2U,81만회,입질의추억TV jiminTV,2023-11-14,0:14:13
93,목숨 걸고 산 넘어 물 건너 찾아간 대만의 자연 온천 【대만2】,https://www.youtube.com/watch?v=lkmVLg4u7RY,111만회,빠니보틀 Pani Bottle,2023-11-05,0:25:03
94,와스레모노 忘れ物 / Vaundy (Cover by 아이네 INE),https://www.youtube.com/watch?v=YpCpF_CD2pM,127만회,아이네 INE,2023-11-05,0:03:24
95,삶는 순서만 '이렇게' 바꿔줘도 수육 누린내 없이 촉촉해집니다! / 수육 맛있게 삶는법,https://www.youtube.com/watch?v=FwhAlr6Axw0,11만회,첫째아들,2023-11-20,0:07:53
96,"극초기 임산부 일상🤰🏻 임신3주차, 취요남 고기, 복국, 먹방, 샐러드마스터",https://www.youtube.com/watch?v=d7rVdr5_KYY,33만회,yoovlog,2023-11-19,0:22:00
